1,John van 't Schip,NED
2,Mika Aaltonen,FIN
3,Ismael Aaneba,FRA
4,Patrick van Aanholt,NED
5,Max Aarons,ENG
6,Rolando Aarons,ENG
7,Brenden Aaronson,USA
8,Paxten Aaronson,USA
9,Sergio Abad Beyxer,ESP
10,Manuel Abad,
11,Eduard Abadal,ESP
12,Agustín Abadía,ESP
13,Álvaro Abajas,ESP
14,Rodrigo Abajas,ESP
15,Dani Abalo,ESP
16,James Abankwah,IRL
17,Jacques Abardonado,FRA
18,Zakariya Abarouai,FRA
19,Beniamino Abate,ITA
20,Giovanni Abate,ITA
21,Ignazio Abate,ITA
22,Matteo Abbate,ITA
23,Christian Abbiati,ITA
24,Pato Abbondanzieri,ARG
25,George Abbott,ENG
26,Diego Abbrandini,ITA
27,Elvis Abbruscato,ITA
28,Hosny Abd Rabo,EGY
29,Basit Abdallah,GHA
30,Kassim Abdallah,COM
31,Keyliane Abdallah,FRA
32,Mazhar Abdel Rahman,EGY
33,Yunis Abdelhamid,MAR
34,Mohammed Abdellaoue,NOR
35,Yassine Abdellaoui,NED
36,Himad Abdelli,ALG
37,Mohamed Abdelmoneim,EGY
38,Aymen Abdennour,TUN
39,Yacine Abdessadki,MAR
40,Ali Abdi,TUN
41,Almen Abdi,SUI
42,Pape Abdou Camara,SEN
43,Nadjim Abdou,COM
44,Djamel Abdoun,ALG
45,Salis Abdul Samed,GHA
46,Sabit Abdulai,GHA
47,Saud Abdulhamid,KSA
48,Rafidine Abdullah,COM
49,Nura Abdullahi,NGA
50,Suleiman Abdullahi,NGA
51,Denis Abed,FRA
52,Adam Abeddou,FRA
53,Eris Abedini,KVX
54,Aly Abeid,MTN
55,Mehdi Abeid,ALG
56,Nelson Abeijón,URU
57,Abel,ESP
58,Abel,
59,Mathias Abel,GER
60,Damià Abella,ESP
61,Federico Abelli,ITA
62,Loïc Abenzoar,FRA
63,Nabil Aberdin,FRA
64,Laurent Abergel,FRA
65,Mathías Abero,URU
66,Charles Abi,FRA
67,Dickson Abiama,NGA
68,Éric Abidal,FRA
69,Nabil Abidallah,NED
70,Oliver Abildgaard,DEN
71,Terry Ablade,FIN
72,Jim Ablancourt,FRA
73,Gary Ablett,ENG
74,Matthis Abline,FRA
75,Abner,BRA
76,Pape Abou Cissé,SEN
77,Ahmed Abou Moslem,EGY
78,Samassi Abou,FRA
79,Vincent Aboubakar,CMR
80,Hicham Aboucherouane,MAR
81,Zakaria Aboukhlal,MAR
82,Abdel Abqar,MAR
83,David Abraham,ARG
84,Tammy Abraham,ENG
85,Luis Abram,PER
86,Amir Abrashi,ALB
87,Fernando de Abreu Ferreira,BRA
88,Sebastián Abreu,URU
89,Fabrice Abriel,FRA
90,Vicent Abril Sanz,ESP
91,Giuseppe Abruzzese,ITA
92,Joel Abu Hanna,ISR
93,Salim Abubakar,NIG
94,Abuda,BRA
95,Aleksandar Abutovic,
96,Gennaro Acampora,ITA
97,Mathieu Acapandié,FRA
98,Santiago Acasiete,PER
99,Marco Acatullo,ITA
100,Andrea Accardi,ITA
101,Giuseppe Accardi,ITA
102,Pietro Accardi,ITA
103,José Acciari,ARG
104,Federico Accornero,ITA
105,Jean Acedo,FRA
106,Christian Acella,ITA
107,Francesco Acerbi,ITA
108,Paolo Acerbis,ITA
109,Álvaro Aceves,ESP
110,Karim Achahbar,MAR
111,Ragnar Ache,GER
112,Geoffrey Acheampong,GHA
113,Joshua Acheampong,ENG
114,Mohamed Achi,FRA
115,Romain Achilli,FRA
116,Hakeem Achour,ALG
117,Milenko Ačimovič,SVN
118,Acorán,ESP
119,Lautaro Acosta,ARG
120,Miguel Ángel Núñez Acosta,ESP
121,Antonio Acosta Rivera,ESP
122,Maxwell Acosty,GHA
123,Robert Acquafresca,ITA
124,Afriyie Acquah,GHA
125,Clarence Acuña,CHI
126,Javier Acuña,PAR
127,Marcos Acuña,ARG
128,Roberto Acuña,PAR
129,Adaílton,BRA
130,Adaílton,BRA
131,Adaílton,BRA
132,Charlie Adam,SCO
133,Frédéric Adam,FRA
134,Stéphane Adam,FRA
135,Dariusz Adamczuk,POL
136,Massimiliano Adami,
137,Marius Adamonis,LTU
138,Akor Adams,NGA
139,Che Adams,SCO
140,Micky Adams,ENG
141,Neil Adams,ENG
142,Tony Adams,ENG
143,Tyler Adams,USA
144,Junior Adamu,AUT
145,Yakubu Adamu,NGA
146,Sargis Adamyan,ARM
147,Antonio Adán,ESP
148,Daniele Adani,ITA
149,Tosin Adarabioyo,ENG
150,Tayo Adaramola,IRL
151,Aday,ESP
152,Miles Addison,ENG
153,Daniel Addo,GHA
154,Ishmael Addo,GHA
155,Joseph Addo,
156,Otto Addo,GHA
157,Vernon Addo,
158,Enzo Adeagbo,SUI
159,Elijah Adebayo,ENG
160,Emmanuel Adebayor,TOG
161,Val Adedokun,IRL
162,Olubayo Adefemi,NGA
163,Adeílson,BRA
164,Daniel Adejo,NGA
165,Bobby Adekanye,NED
166,Martin Adeline,FRA
167,Orhan Ademi,SUI
168,Holger Aden,GER
169,Khaled Adénon,BEN
170,Jordan Adéoti,BEN
171,Mutiu Adepoju,NGA
172,Karim Adeyemi,GER
173,Adhemar,BRA
174,Raphaël Adiceam,FRA
175,Simon Adingra,CIV
176,Madjid Adjaoud,ALG
177,Claud Adjapong,ITA
178,Nathaniel Adjei,GHA
179,Geoffrey Adjet,FRA
180,Jean-Marc Adjovi-Bocco,BEN
181,Nicky Adler,GER
182,René Adler,GER
183,Thomas Adler,GER
184,Amine Adli,MAR
185,Yacine Adli,FRA
186,Ali Adnan Kadhim,IRQ
187,Youssef Adnane,FRA
188,Albert Adomah,GHA
189,Ador,ESP
190,Andrea Adorante,ITA
191,Issam El Adoua,MAR
192,Amir Adouyev,RUS
193,Adrián,ESP
194,Adriano,BRA
195,Adriano,BRA
196,Adriano,BRA
197,Adriano,
198,Adriano,BRA
199,Luiz Adriano,BRA
200,Adryan,BRA
201,Adryelson,BRA
202,Daniel Adshead,ENG
203,Adson,BRA
204,Freddy Adu,USA
205,Daniel Adu-Adjei,ENG
206,Godfried Aduobe,GHA
207,Aritz Aduriz,ESP
208,Luis Advíncula,PER
209,Ivan Adžić,SRB
210,Silvio Adzic,GER
211,Vasilije Adžić,MNE
212,Michel Aebischer,SUI
213,Kodjo Afanou,FRA
214,Omri Afek,ISR
215,Ibrahim Afellay,NED
216,Felix Afena-Gyan,GHA
217,Loïc Affamah,FRA
218,François Affolter,SUI
219,Emilio Affuso,
220,Akram Afif,QAT
221,Benik Afobe,COD
222,Rabiu Afolabi,NGA
223,Oladapo Afolayan,ENG
224,Victor Agali,NGA
225,David Aganzo,ESP
226,Kieran Agard,ENG
227,Kossi Agassa,TOG
228,Didier Agathe,FRA
229,Michael Agazzi,ITA
230,Emmanuel Agbadou,CIV
231,Lumor Agbenyenu,GHA
232,Asher Agbinone,ENG
233,Uche Agbo,NGA
234,Kuami Agboh,TOG
235,Wilfred Agbonavbare,NGA
236,Gabriel Agbonlahor,ENG
237,Jan Åge Fjørtoft,NOR
238,Daniel Agger,DEN
239,Julius Aghahowa,NGA
240,Joseba Agirre,ESP
241,Joseba Agirre,ESP
242,Sendoa Agirre,ESP
243,Martin Agirregabiria,ESP
244,Imanol Agirretxe,ESP
245,Borja Agirretxu,ESP
246,Julen Agirrezabala,ESP
247,Federico Agliardi,ITA
248,Alfredo Aglietti,ITA
249,Liam Agnew,ENG
250,Steve Agnew,ENG
251,Junior Agogo,GHA
252,Vittorio Agostinelli,ITA
253,Agostinho,POR
254,Alessandro Agostini,ITA
255,Domenico Agostini,ITA
256,Massimo Agostini,ITA
257,Giuseppe Agostino,ITA
258,Paul Agostino,AUS
259,Laurent Agouazi,ALG
260,Lucien Agoume,FRA
261,Alessio Agrifogli,ITA
262,Donald Agu,NGA
263,Felix Agu,GER
264,Festus Agu,NGA
265,Álvaro Aguado,ESP
266,Pedro Aguado,
267,Tarsicio Aguado,ESP
268,Xavier Aguado,ESP
269,Rui Águas,POR
270,Kevin Agudelo,COL
271,Yannick Aguemon,BEN
272,Nayef Aguerd,MAR
273,Juan Agüero,ESP
274,Sergio Agüero,ARG
275,Albert Aguilá,ESP
276,Abel Aguilar,COL
277,Alberto Aguilar,ESP
278,Edu Aguilar,ESP
279,Lalo Aguilar,ESP
280,Ruben Aguilar,FRA
281,Brandon Aguilera,CRC
282,Carlos Aguilera,ESP
283,Carlos Aguilera,URU
284,Juan Aguilera,ESP
285,Álvaro Aguirre,ESP
286,Marcos Aguirre,ARG
287,Rodrigo Aguirre,URU
288,Wilmer Aguirre,PER
289,Matías Aguirregaray,URU
290,Mikel Aguirregomezkorta Larrea,ESP
291,Agus,ESP
292,Agust,
293,Kemy Agustien,CUW
294,Sergio Aguza,ESP
295,Dan Agyei,ENG
296,Patrick Agyemang,GHA
297,Emmanuel Agyemang-Badu,GHA
298,Ali Ahamada,COM
299,Hassan Ahamada,FRA
300,Naouirou Ahamada,FRA
301,Abdelaziz Ahanfouf,MAR
302,Honest Ahanor,ITA
303,Augustine Ahinful,GHA
304,Markus von Ahlen,GER
305,Sören Ahlers,GER
306,Markus Ahlf,GER
307,Matteo Ahlinvi,BEN
308,Karim El Ahmadi,MAR
309,Amar Ahmed,SWE
310,Aymeric Ahmed,COM
311,Said Ahmed Said,ITA
312,Anel Ahmedhodžić,BIH
313,Jean-Eudes Aholou,CIV
314,Oscar Ahumada,ARG
315,Ramon Aiana,ITA
316,Ivan Aiardi,ITA
317,Antonis Aidonis,GER
