Tal Ben Haim,2008-2009,26,ISR,Sunderland,Premier League,5,436,4.8,5,,,0,0,0,0,0,0,0,DF
Tal Ben Haim,2008-2009,26,ISR,Manchester City,Premier League,9,765,8.5,8,,,0,0,0,0,0,0,0,DF
James Collins,2009-2010,25,WAL,West Ham,Premier League,3,270,3,3,,,0,0,0,0,0,0,0,DF
James Collins,2009-2010,25,WAL,Aston Villa,Premier League,27,2369,26.3,26,,,1,0,1,1,0,0,0,DF
Fábio,2013-2014,23,BRA,Manchester Utd,Premier League,1,90,1,1,,,0,0,0,0,0,0,0,DF
Fábio,2013-2014,23,BRA,Cardiff City,Premier League,13,993,11,13,,,0,0,0,0,0,0,0,DF
Emmanuel Frimpong,2011-2012,19,GHA,Arsenal,Premier League,6,217,2.4,3,3,,0,0,0,0,0,0,0,MF
Emmanuel Frimpong,2011-2012,19,GHA,Wolves,Premier League,5,287,3.2,5,0,,0,1,1,0,0,0,0,MF
Mark Hughes,1999-2000,35,WAL,Southampton,Premier League,20,1660,18.4,18,2,,1,2,3,1,0,0,0,FW
Mark Hughes,1999-2000,35,WAL,Everton,Premier League,9,760,8.4,9,0,,1,1,2,1,0,0,0,FW
Daniel James,2021-2022,23,WAL,Manchester Utd,Premier League,2,126,1.4,2,0,1,0,0,0,0,0,0,0,FW
Daniel James,2021-2022,23,WAL,Leeds United,Premier League,32,2366,26.3,29,3,0,4,4,8,4,0,0,0,FW
Daniel James,2022-2023,24,WAL,Fulham,Premier League,20,621,6.9,5,15,8,2,1,3,2,0,0,0,FW
Daniel James,2022-2023,24,WAL,Leeds United,Premier League,4,198,2.2,2,2,0,0,0,0,0,0,0,0,FW
Jô,2008-2009,21,BRA,Manchester City,Premier League,9,587,6.5,6,3,,1,2,3,1,0,0,0,FW
Jô,2008-2009,21,BRA,Everton,Premier League,12,921,10.2,11,1,,5,1,6,4,1,1,0,FW
Jorginho,2022-2023,30,ITA,Chelsea,Premier League,18,1279,14.2,15,3,2,2,0,2,0,2,2,0,MF
Jorginho,2022-2023,30,ITA,Arsenal,Premier League,14,855,9.5,9,5,5,0,1,1,0,0,0,0,MF
Kenedy,2016-2017,20,BRA,Watford,Premier League,1,16,0.2,0,1,2,0,0,0,0,0,0,0,"FW,MF"
Kenedy,2016-2017,20,BRA,Chelsea,Premier League,1,74,0.8,1,0,0,0,0,0,0,0,0,0,"FW,MF"
Kenedy,2017-2018,21,BRA,Chelsea,Premier League,0,0,0,0,0,0,0,0,0,0,0,0,0,"MF,DF"
Kenedy,2017-2018,21,BRA,Newcastle Utd,Premier League,13,1023,11.4,13,0,4,2,2,4,2,0,0,0,"MF,DF"
Pedro Mendes,2005-2006,26,POR,Tottenham,Premier League,6,267,3,3,3,0,0,0,0,0,0,0,0,MF
Pedro Mendes,2005-2006,26,POR,Portsmouth,Premier League,14,1219,13.5,14,0,0,3,0,3,3,0,0,0,MF
Danny Rose,2019-2020,29,ENG,Tottenham,Premier League,12,893,9.9,10,2,3,0,0,0,0,0,0,0,DF
Danny Rose,2019-2020,29,ENG,Newcastle Utd,Premier League,11,863,9.6,10,1,2,0,0,0,0,0,0,0,DF
Kyle Walker,2010-2011,20,ENG,Aston Villa,Premier League,15,1337,14.9,15,0,,1,3,4,1,0,0,0,"DF,MF"
Kyle Walker,2010-2011,20,ENG,Tottenham,Premier League,1,4,0,0,1,,0,0,0,0,0,0,0,"DF,MF"
Paul Williams,1992-1993,26,ENG,Sheffield Weds,Premier League,7,630,7,7,0,,1,0,1,1,0,0,0,FW
Paul Williams,1992-1993,26,ENG,Crystal Palace,Premier League,18,1333,14.8,15,3,,0,2,2,0,0,0,0,FW
